id,onset,tkr,duration,class,vola_t_5,vola_t_10,vola_t_15,vola_t_20,vola_t_30,vola_ratio,momentum_t-5,momentum_t-10,momentum_t-15,momentum_t-20,momentum_t-30,max_drawdown_t-5,max_drawdown_t-10,max_drawdown_t-15,max_drawdown_t-20,max_drawdown_t-30,onset_return,intra_day_range,p-onset,max_panic_t-5,max_panic_t-10,max_panic_t-15,max_panic_t-20,max_panic_t-30,mean_panic_onset,asset_panic_t-5,asset_panic_t-10,asset_panic_t-15,asset_panic_t-20,asset_panic_t-30,asset_correl_t-10,asset_correl_t-15,asset_correl_t-20,asset_correl_t-30,^VIX,GPR,BAA10Y,T10Y2Y
0,2001-09-24,CL=F,1,0,0.013511645149328474,0.032188743337200364,0.027783431509835203,0.02771747289348055,0.024051171903043223,0.4874775273075692,-0.1284647197735968,-0.036298918920987494,-0.026597341819881687,-0.045539420716244686,-0.06593340740101139,-0.09857689015042115,-0.12055541112469315,-0.12055541112469315,-0.12055541112469315,-0.12055541112469315,-16.5445093297343,0.09995459973019812,0.999988506752105,0.0263487419696079,0.0489172866058586,0.0489172866058586,0.0489172866058586,0.0489172866058586,0.41513960299063035,0.27069335762078583,0.15824752577917398,0.10845937933662035,0.08684430120811672,0.06535980879146894,,,,0.09637792605648773,37.75,789.36,3.48,1.79
1,2001-11-14,CL=F,3,1,0.03948868013781787,0.033854922567971554,0.028265873198793885,0.02554693285685169,0.024149054386125125,1.5457307677241185,0.08420456308251541,-0.009187053993417096,-0.008272119931182594,-0.015113634289330598,-0.0503930643609343,-0.04455444652165941,-0.05949009493516999,-0.10792654973785265,-0.10792654973785265,-0.1465295652928581,-9.32817966584741,0.10385010983680767,0.6495753511394453,0.0444077741027854,0.0444077741027854,0.0444077741027854,0.0444077741027854,0.0444077741027854,0.10689864151085506,0.01949020477312671,0.018452365983660176,0.02059699727543294,0.020529999577157263,0.0229514695308819,-0.05556024961753504,-0.03143695443757302,-0.04293546406348455,-0.02453267451673375,26.559999465942383,381.34,3.19,1.84
2,2003-03-18,CL=F,4,1,0.028166745445472614,0.02457029102394014,0.024391490262068077,0.02318053551043067,0.021911630576488605,1.2151033108272358,-0.0648426582180078,-0.0268339994041708,-0.043418085102262,-0.052151756887312696,0.04150221589483869,-0.07665877307725355,-0.07665877307725355,-0.07665877307725355,-0.07665877307725355,-0.07665877307725355,-9.79762045959448,0.06315130731072192,0.5952502496484879,0.0174812489924857,0.0174812489924857,0.0174812489924857,0.0174812489924857,0.0174812489924857,0.2580604675781205,0.17509069781111858,0.13685659672714737,0.1624521847611813,0.15956144040589468,0.11486067315774946,-0.10498868823003366,-0.04811720400846585,-0.04604586395812483,-0.03898560528122282,30.43000030517578,554.58,3.11,2.19
3,2008-09-17,CL=F,91,1,0.025958841613432752,0.02019239319394624,0.022235439621201007,0.027532597700338567,0.024412940944508518,0.9428402614226822,-0.1247435822744046,-0.1853339946194449,-0.23338168036432538,-0.21373022043658707,-0.2866667598540659,-0.1114252300755516,-0.16643801739557795,-0.22852306095049923,-0.24781315979262497,-0.24781315979262497,6.38526239605262,0.06453269253541183,0.1569655190020144,0.0385993095600077,0.0385993095600077,0.0385993095600077,0.0516075471116473,0.0516075471116473,0.4999357380757556,0.3001954622629689,0.22311181937527239,0.19990042732242705,0.2201715091793097,0.26213800860559683,0.09144663968706201,0.16919105540203153,0.23130354555514127,0.2212716111674924,36.220001220703125,127.53,3.84,1.77
4,2009-02-12,CL=F,20,1,0.02858625869448107,0.02506976456462582,0.03695088750159103,0.04727881511226453,0.0556094662749705,0.6046314533602926,-0.11499677304951411,-0.159621057469094,-0.192058842635055,-0.04992898661777889,-0.10752849744920481,-0.12703424277005038,-0.13771597016408876,-0.2265978549039258,-0.2265978549039258,-0.27473877218020537,-5.60787403725311,0.07945852852597649,0.0760524458746292,0.0305388475706414,0.5773691735106498,0.994059978323652,0.9996088731332916,0.9999849090148584,0.3241392601811429,0.37592817429264047,0.39471454904310377,0.45155796026173606,0.48325285586106886,0.49528591263858956,0.14458332204589003,0.17674694894883453,0.2052738469192864,0.2638164846530543,41.25,82.81,5.16,1.86
5,2015-02-02,CL=F,3,1,0.04461881171047526,0.041503389612943566,0.04083994385961944,0.03820758395531346,0.034542129898589985,1.1677998735188333,0.056500189640707604,0.0421271232545833,-0.011336805379379492,-0.0991847423091636,-0.14791232707686697,-0.03850311046770927,-0.08708149483174699,-0.08708149483174699,-0.15638637461631288,-0.22181369758172098,2.7197218663004104,0.0784749491283913,0.0998024268258037,0.1822749774024896,0.1822749774024896,0.1822749774024896,0.1822749774024896,0.1822749774024896,0.03762784948721082,0.029011988826892317,0.040177662601103156,0.05571315611934845,0.05006021390173872,0.04665646479317483,0.009382826242808102,0.008614042320143572,-0.031206913381258288,0.029690122059937523,19.43000030517578,101.15,2.61,1.19
6,2015-08-27,CL=F,4,1,0.03158705660624336,0.02665580681506427,0.025308960602265257,0.023909172418949128,0.020926025268748965,1.3211271411974577,-0.0554298257703767,-0.11490038044835249,-0.156738076718519,-0.23427315565215448,-0.286580466159112,-0.0704909517308192,-0.10276859134647276,-0.1494661375188211,-0.21187136608223123,-0.24887052066234416,9.76626403603218,0.09187029420224295,0.6582351826827633,0.0262231708965693,0.0262231708965693,0.0262231708965693,0.0262231708965693,0.0262231708965693,0.26291659685649205,0.10108324414903228,0.07346911483485496,0.06087403089537312,0.0476842309724906,0.03711129908913751,0.07215213706479963,0.19125749502874792,0.16261780282636673,0.17337557682996593,26.100000381469727,85.71,3.15,1.5
7,2016-01-20,CL=F,18,1,0.03215880838887336,0.027206920434011996,0.02789542797319052,0.030500160512640758,0.02923325088673353,1.054381611386772,-0.098626748199825,-0.25591069133455346,-0.2917146815905488,-0.20541893001648362,-0.36702186914046475,-0.08782056447003284,-0.2087851509971027,-0.24848165072139283,-0.25301836681689815,-0.2879660191320853,-6.9469841540791695,0.09001881198973022,0.1691145209753102,0.0358633507942678,0.0358633507942678,0.0358633507942678,0.0358633507942678,0.0433437912545077,0.0404239904884209,0.02308272137049309,0.020635585107407112,0.024147102033807804,0.027844876575724348,0.022553116694870385,-0.05646737602844414,0.07999207420236006,0.06102803311982855,0.06117287853325159,27.59000015258789,194.34,3.4,1.16
8,2019-09-16,CL=F,1,0,0.01893177438105964,0.02254293445747439,0.02123742025272719,0.019375356410171962,0.023587190118247413,0.9771058648046628,-0.029992407013355798,-0.0333483869798014,-0.0090744726847085,0.006952045095973995,0.016544453056369392,-0.05185825547328293,-0.05185825547328293,-0.05185825547328293,-0.05185825547328293,-0.08210563613640931,13.6944029063085,0.07329094592239195,0.9972690540440606,0.0043684985408571,0.0107768867693046,0.0107768867693046,0.0107768867693046,0.0981541675510621,0.1487488149831871,0.010511051251048311,0.01167919547850078,0.010596288919125094,0.0104689478148809,0.017691308947829353,0.24361046458143973,0.18568579304255328,0.1491020317453596,0.11520622888197977,14.670000076293944,178.92,2.2,0.1
9,2020-03-06,CL=F,50,1,0.03483273054813499,0.027001506183670046,0.025487451018828256,0.023419173463112876,0.02116677882499113,1.4873595177472596,-0.025595517185761106,-0.15843647783258308,-0.1086882367231977,-0.10044646761184829,-0.21201430865237658,-0.02713011384097963,-0.16148374998311688,-0.16772035445333655,-0.16772035445333655,-0.19481924449231214,-10.60870587080376,0.129118265229403,0.7963861629935307,0.0307432429315619,0.0307432429315619,0.0307432429315619,0.0307432429315619,0.0307432429315619,0.3706676657182352,0.278917861916414,0.17505621288884518,0.11875312996457583,0.08962333732177075,0.061036671563594824,0.2903528024606353,0.27600451034876106,0.24408782643630758,0.216442113065728,41.93999862670898,51.33,2.55,0.25
10,2021-11-26,CL=F,1,0,0.022688214446954017,0.018082083390585115,0.02163474353698491,0.020480536491452178,0.01827506848935583,1.1077939514144681,0.00038275954913060024,-0.0369414950422917,-0.031022911346334392,-0.0530394929723272,-0.0258152348405596,-0.03683082626794387,-0.06728763463885534,-0.09566254195826929,-0.09566254195826929,-0.10100416890298503,-13.99851798819939,0.1650770322540343,0.998200219809698,0.0056283840006757,0.0056283840006757,0.005641240116741,0.005641240116741,0.005641240116741,0.1759980175926689,0.017056991633911247,0.021638320109121294,0.01948918296525892,0.018887997697417648,0.0197693994281333,-0.009520062319260518,-0.04771371215822499,-0.03744797478147257,0.03090877674775904,28.6200008392334,58.98,1.82,0.98
11,2022-03-01,CL=F,14,1,0.02171121012913043,0.023590749469379165,0.022105609489751214,0.020119541754478783,0.01911472183598782,1.079110567928185,0.049798837564300896,0.027753107899681197,0.0362748242388722,0.09759026943661808,0.15324565019633538,-0.01314514872099759,-0.04598784236069098,-0.04598784236069098,-0.04598784236069098,-0.04598784236069098,7.727442881735069,0.11082099099346356,0.1802169598741702,0.0054513747602659,0.0054513747602659,0.0054513747602659,0.0054513747602659,0.0054513747602659,0.1959285024043849,0.13627353630582198,0.08244129598409676,0.06967831426905433,0.08244205337703223,0.08573800922197827,0.01991886004678447,0.04753318399752131,0.07240483615453867,0.02257564146264516,33.31999969482422,540.83,2.25,0.41
12,2026-03-05,CL=F,32,1,0.02770354543018886,0.024024310993037062,0.02453844557903397,0.023608703764676282,0.02391314731271103,1.173446272456489,0.1321165284159049,0.1356384021498513,0.154686648885231,0.1664820205366165,0.21294928627720658,0.0,-0.018365214738800373,-0.03558711929608882,-0.043137819848372505,-0.05013755535159703,8.16281076754358,0.08875450255284752,0.3352937680138429,0.0494926362042579,0.0494926362042579,0.0494926362042579,0.0494926362042579,0.0494926362042579,0.19369474677654816,0.1402319341500797,0.14378240300168613,0.14960234382184123,0.1697525216062513,0.20525942106726477,0.026636387638814346,0.1366313068048174,0.0672245003342755,0.07172828995361158,23.75,413.36,1.76,0.56
13,2001-09-14,GC=F,1,0,0.00570650335036885,0.005048877886933734,0.005567033245378236,0.0063111383966273985,0.006836422535165928,0.9041955653227858,-0.010256455451612998,-0.0033081959463147,-0.0279560110883411,-0.008432635828310601,0.015584776314555298,-0.005492493469338999,-0.0137980678183931,-0.01629844223296706,-0.0275688579519765,-0.0275688579519765,6.62399643573038,0.0,0.995958721829558,0.0106282793460113,0.0106282793460113,0.0237587907541208,0.0237587907541208,0.0257171436280887,0.22811701292363554,0.016548357766299523,0.013197155542862429,0.01797354384059016,0.022800623200096994,0.0216472513987568,,,-0.18427910906780448,-0.05163443094219792,,667.81,3.36,1.7
14,2003-02-12,GC=F,5,1,0.0076316671385644255,0.011796212815804332,0.010744251563649526,0.010469028468334635,0.010586427273034838,0.7289756792282786,-0.0445117307876966,-0.0204785313435402,0.014448743430021407,0.021752078100067608,0.037379615372149094,-0.03692878353315565,-0.04353562005277045,-0.04353562005277045,-0.04353562005277045,-0.04353562005277045,-2.76901870209324,0.03403289787940918,0.1838626017299062,0.065175536111079,0.065175536111079,0.065175536111079,0.065175536111079,0.0926418152211847,0.03408387376176526,0.013879393333483715,0.017042880456778292,0.018601156138512313,0.018445975830533607,0.021656877754661914,-0.11603848663092348,-0.02092339117521938,-0.029109127026061034,0.0762371021279205,34.33000183105469,296.34,3.16,2.31
15,2006-02-07,GC=F,5,1,0.007162731260421436,0.006839472261315097,0.010770452960136276,0.010657641081463566,0.011435533235668953,0.6720747307656386,0.007746560594253902,0.0210907674352344,0.025039107595675205,0.054973745644128005,0.1454780238442136,-0.008908254298580776,-0.008908254298580776,-0.017528029958620905,-0.022298082940645614,-0.022298082940645614,-3.4252388733989503,0.037023637775068056,0.2219875126725641,0.0801037550587408,0.4427078095419277,0.8014451546032817,0.8014451546032817,0.8014451546032817,0.04760188625638353,0.024059602727536843,0.038583615318946496,0.055225339987073116,0.057944022297637766,0.05156070976869569,0.038786026514027565,0.09080061230733551,0.07526604716682621,0.1272547207585648,13.59000015258789,144.17,1.71,-0.04
16,2006-04-17,GC=F,67,1,0.010070432692292713,0.009511294763823726,0.010562250887782045,0.009653108546961905,0.010360654176655973,1.0432320991005692,0.0021817375099638997,0.0165656047998995,0.08097920603769461,0.0731927496253692,0.048605750634196,-0.004016003140818625,-0.011424710439359775,-0.011424710439359775,-0.011424710439359775,-0.04611303107056097,3.11932610218295,0.01868703208283008,0.1646205027845144,0.1139774909348415,0.1139774909348415,0.1139774909348415,0.1139774909348415,0.4275100868817013,0.040171880983318684,0.014069868930524853,0.014930696936096496,0.013537868421910454,0.014392974620317453,0.024455360125641864,0.32295852887518767,0.19660173200475323,0.16063055741915022,0.16279407650446456,12.579999923706056,139.61,1.7,0.1
17,2006-09-05,GC=F,10,1,0.008982894137686489,0.007815846194563946,0.011040849800194982,0.011154551097600572,0.010834434646936904,0.8053120254762002,0.014681293834021402,-0.002079814772404799,-0.006544800288989793,-0.036790760152089104,0.01891578808636271,-0.0023965488760033793,-0.022254184953924616,-0.02863050684031576,-0.0611836860768159,-0.06276851582464815,2.23304477312817,0.0,0.0585458146668023,0.0561766459011834,0.2027845657622858,0.4097477091543979,0.4097477091543979,0.8952573017585829,0.035212830392134624,0.032606534177152924,0.0299802853882701,0.03708887935714579,0.04005335129428528,0.07621282229766259,-0.049475764299087496,-0.003964998397695825,0.04017347891648863,0.041588177511272265,12.630000114440918,173.75,1.73,-0.02
18,2006-09-28,GC=F,5,1,0.0050884635859414044,0.011254606251395974,0.01434305470041587,0.01413222293806392,0.013265356253017235,0.36006108934469666,0.029391375760776203,0.013823572216585502,-0.05884052045995241,-0.033583443162682906,-0.05123473550407922,0.0,-0.016035524084470065,-0.0658022294747771,-0.09725916301634696,-0.09725916301634696,1.28089787295999,0.014049586776859505,0.1503714925632012,0.5399990466240615,0.8775544385898492,0.9021862390528536,0.9021862390528536,0.9021862390528536,0.20725500631929306,0.06378333184895084,0.10075172134475005,0.10296682509158636,0.08489058162350183,0.06980306323902717,0.06777901673178728,0.07922576785302968,0.13101948670972613,0.09363232752842039,11.720000267028809,117.82,1.73,-0.05
19,2007-11-12,GC=F,12,1,0.007521607600408519,0.008238635861485677,0.00902725670625764,0.008175068511081093,0.009397012297742938,0.9200666135351864,0.0327217419206093,0.06015172951556439,0.08586543268807799,0.10609483631365689,0.11400640880985412,-0.003232773189138727,-0.006082863948138617,-0.006082863948138617,-0.010862436929937158,-0.023956135066420248,-3.25976642463112,0.006453229443790051,0.1807165973975454,0.0383882234661294,0.0383882234661294,0.0383882234661294,0.0383882234661294,0.0510601036550533,0.04125601472348461,0.02682418895213697,0.03284993056408796,0.03116993034071816,0.0289835145288145,0.0332862816002746,0.3354867299413253,0.25662995345588335,0.22509104479681158,0.2115952491344744,31.09000015258789,101.76,2.18,0.765
20,2008-03-19,GC=F,266,1,0.004646270184276218,0.009343787008818931,0.010009211060349426,0.0094035373851088,0.011140244496926514,0.49409812435413203,0.029333548143993703,0.0399626019284088,0.0586019361413002,0.0794282354122077,0.10312571470981621,0.0,-0.01652807502657694,-0.017931712262799437,-0.017931712262799437,-0.02177921344606626,-6.008275235006541,0.043294128136353964,0.9786550620674352,0.029379191776711,0.2841361059247239,0.2841361059247239,0.2841361059247239,0.2841361059247239,0.5782173454674506,0.23870129466648038,0.2186687976977398,0.19271949444944242,0.16643437170993464,0.14147912942405877,0.40452921050070806,0.3281967245749093,0.2967324343471915,0.29908750460323036,29.84000015258789,77.11,3.44,1.84
21,2011-08-08,GC=F,92,1,0.01008584089039409,0.0073914017901930236,0.006953471790774836,0.006720348595321608,0.008030767387408157,1.500791327612883,0.0125112244332357,0.0292319503693564,0.036439527338202105,0.06748647812047501,0.0812716741014424,-0.008777188512474887,-0.008777188512474887,-0.009549920099222842,-0.009549920099222842,-0.01827933978386953,3.6562513980145104,0.024500073447757658,0.2694499247973259,0.0246218047006677,0.0246218047006677,0.0246218047006677,0.0246218047006677,0.0742567756800811,0.2829842827217676,0.11154812098229962,0.0609088603293916,0.05079644733798383,0.06671165209014569,0.07597237230304224,0.30359704989118547,0.3039827380893611,0.36784207340798414,0.2450277728744361,48.0,94.77,2.88,2.13
22,2013-04-12,GC=F,60,1,0.012551442295048051,0.010975925581805688,0.009318371045173203,0.008389478130406271,0.007321683928930263,1.4960933326183223,0.008022891856441602,-0.026432639572816698,-0.0272417063300089,-0.015225821801725294,-0.0195606188164019,-0.01758914588487892,-0.030124969482421826,-0.03841863807416657,-0.03841863807416657,-0.03841863807416657,-4.130691814830359,0.053697600037475014,0.5718167054708132,0.0462131640702397,0.0462131640702397,0.0462131640702397,0.0462131640702397,0.0760873758043267,0.0914709078814786,0.024276848010762936,0.05945498856017354,0.04018545006879782,0.03063015878714664,0.022111503772380945,0.1424566007874963,0.14049214286579467,0.1299573249622356,0.14789785840855457,12.0600004196167,97.21,2.82,1.53
