CL=F,GC=F,HG=F,NG=F,ZM=F,ZW=F,^GSPC
-14537.996013419317,-9380.849140332486,-12076.16391782337,-17235.0882479872,-12535.022867369153,-13513.360485195513,-9423.152651597604
-14537.996014185257,-9380.849139711658,-12076.163914451712,-17235.08823140146,-12535.022859882067,-13513.36047883072,-9423.152651915494
-14537.996028944566,-9380.849139546268,-12076.163912727576,-17235.088230951573,-12535.022868867272,-13513.360490810166,-9423.15265226805
-14537.99608428717,-9380.849139836631,-12076.163912654878,-17235.088234087656,-12535.022859056764,-13513.360479600284,-9423.152651639586
-14537.996030159138,-9380.849146759901,-12076.163926458506,-17235.088232054586,-12535.022859163138,-13513.360479638126,-9423.152651776425
-14537.99601196092,-9380.84914509681,-12076.163912434644,-17235.088242334237,-12535.02285933435,-13513.360479978424,-9423.152651940214
-14537.996025756642,-9380.849139535017,-12076.163918591259,-17235.088229330206,-12535.022868787182,-13513.36054520322,-9423.152652302047
-14537.996010395567,-9380.84913974017,-12076.16391247037,-17235.08822824654,-12535.022872086487,-13513.360500786031,-9423.152653405748
-14537.996034685486,-9380.849142449362,-12076.163912807428,-17235.088266146704,-12535.02286216725,-13513.360478550005,-9423.152651714234
-14537.996009900491,-9380.849140926863,-12076.163924802371,-17235.088244412385,-12535.022859806477,-13513.360478611441,-9423.152651570665
-14537.996141183303,-9380.849140286711,-12076.163912683505,-17235.088247519616,-12535.022865996194,-13513.360480514086,-9423.152654493346
-14537.996066467414,-9380.849140201468,-12076.163912480504,-17235.088229852852,-12535.022858994827,-13513.360492035383,-9423.152651713375
